step,stage,position_id,selected_move,cp_best,cp_move,regret_cp,raw_signal,running_signal_mean,centered_advantage,applied_advantage,mate_flag,mate_distance,selected_is_teacher_best,control,pass_kind,eligibility_mean_abs,rms_log_ratio,elapsed_s
106,movement,movement_0106,f1a1,100.0,-100.0,200.0,0.07576568547998053,0.27665692411440923,-0.2114644617204513,-0.2114644617204513,1,,0,frozen,curriculum,,0.0,1005.3070985999657
107,movement,movement_0107,a2a1,100.0,100.0,0.0,1.0,0.31282407790868877,0.7233430758855908,0.7233430758855908,1,,1,frozen,curriculum,,0.0,1007.2663737999974
108,movement,movement_0108,c4a1,100.0,-100.0,200.0,0.07576568547998053,0.30097115828725335,-0.23705839242870824,-0.23705839242870824,1,,0,frozen,curriculum,,0.0,1008.7044088999974
109,movement,movement_0109,d2a1,100.0,-100.0,200.0,0.07576568547998053,0.2897108846468897,-0.22520547280727282,-0.22520547280727282,1,,0,frozen,curriculum,,0.0,1011.1966544999741
110,movement,movement_0110,e5a1,100.0,100.0,0.0,1.0,0.3252253404145452,0.7102891153531103,0.7102891153531103,1,,1,frozen,curriculum,,0.0,1013.4747698999709
111,movement,movement_0111,b3a1,100.0,-100.0,200.0,0.07576568547998053,0.31275235766781695,-0.24945965493456468,-0.24945965493456468,1,,0,frozen,curriculum,,0.0,1015.8181651999475
112,movement,movement_0112,c6a1,100.0,-100.0,200.0,0.07576568547998053,0.3009030240584251,-0.23698667218783642,-0.23698667218783642,1,,0,frozen,curriculum,,0.0,1018.3648552999366
113,movement,movement_0113,g7g6,100.0,100.0,0.0,1.0,0.33585787285550384,0.6990969759415748,0.6990969759415748,1,,1,frozen,curriculum,,0.0,1020.8167095999233
114,movement,movement_0114,d2a1,100.0,-100.0,200.0,0.07576568547998053,0.32285326348672766,-0.2600921873755233,-0.2600921873755233,1,,0,frozen,curriculum,,0.0,1023.2390486999648
115,movement,movement_0115,h6a1,100.0,-100.0,200.0,0.07576568547998053,0.3104988845863903,-0.24708757800674713,-0.24708757800674713,1,,0,frozen,curriculum,,0.0,1025.4000035999343
116,movement,movement_0116,a3a1,100.0,-100.0,200.0,0.07576568547998053,0.2987622246310698,-0.23473319910640977,-0.23473319910640977,1,,0,frozen,curriculum,,0.0,1027.7647314999485
117,movement,movement_0117,c5a1,100.0,-100.0,200.0,0.07576568547998053,0.2876123976735153,-0.22299653915108925,-0.22299653915108925,1,,0,frozen,curriculum,,0.0,1030.025231699925
118,movement,movement_0118,h2a1,100.0,-100.0,200.0,0.07576568547998053,0.27702006206383856,-0.2118467121935348,-0.2118467121935348,1,,0,frozen,curriculum,,0.0,1032.2916325000115
119,movement,movement_0119,f6a1,100.0,-100.0,200.0,0.07576568547998053,0.26695734323464565,-0.20125437658385803,-0.20125437658385803,1,,0,frozen,curriculum,,0.0,1034.6413513999432
120,movement,movement_0120,d5a1,100.0,-100.0,200.0,0.07576568547998053,0.25739776034691236,-0.19119165775466512,-0.19119165775466512,1,,0,frozen,curriculum,,0.0,1036.0900117999408
121,movement,movement_0121,g7a1,100.0,-100.0,200.0,0.07576568547998053,0.24831615660356576,-0.18163207486693184,-0.18163207486693184,1,,0,frozen,curriculum,,0.0,1038.0212469999678
122,movement,movement_0122,d4a1,100.0,100.0,0.0,1.0,0.2859003487733875,0.7516838433964342,0.7516838433964342,1,,1,frozen,curriculum,,0.0,1040.4200868000044
123,movement,movement_0123,g2a1,100.0,-100.0,200.0,0.07576568547998053,0.2753936156087171,-0.21013466329340696,-0.21013466329340696,1,,0,frozen,curriculum,,0.0,1043.1351763999555
124,movement,movement_0124,c5a1,100.0,-100.0,200.0,0.07576568547998053,0.26541221910228024,-0.19962793012873659,-0.19962793012873659,1,,0,frozen,curriculum,,0.0,1045.5282819999848
125,movement,movement_0125,g6a1,100.0,-100.0,200.0,0.07576568547998053,0.25592989242116526,-0.18964653362229972,-0.18964653362229972,1,,0,frozen,curriculum,,0.0,1047.8965729000047
126,movement,movement_0126,f5a1,100.0,-100.0,200.0,0.07576568547998053,0.246921682074106,-0.18016420694118473,-0.18016420694118473,1,,0,frozen,curriculum,,0.0,1049.4371832999168
127,movement,movement_0127,b7a1,100.0,-100.0,200.0,0.07576568547998053,0.23836388224439972,-0.17115599659412548,-0.17115599659412548,1,,0,frozen,curriculum,,0.0,1051.4341722999234
128,movement,movement_0128,f7a1,100.0,-100.0,200.0,0.07576568547998053,0.23023397240617874,-0.1625981967644192,-0.1625981967644192,1,,0,frozen,curriculum,,0.0,1054.0019914000295
129,movement,movement_0129,b6a1,100.0,-100.0,200.0,0.07576568547998053,0.2225105580598688,-0.1544682869261982,-0.1544682869261982,1,,0,frozen,curriculum,,0.0,1056.593260099995
130,movement,movement_0130,c7a1,100.0,-100.0,200.0,0.07576568547998053,0.21517331443087437,-0.14674487257988827,-0.14674487257988827,1,,0,frozen,curriculum,,0.0,1059.3875569999218
131,movement,movement_0131,g2f2,100.0,100.0,0.0,1.0,0.25441464870933067,0.7848266855691256,0.7848266855691256,1,,1,frozen,curriculum,,0.0,1061.8374919999624
132,movement,movement_0132,e2a1,100.0,-100.0,200.0,0.07576568547998053,0.24548220054786316,-0.17864896322935014,-0.17864896322935014,1,,0,frozen,curriculum,,0.0,1063.6510752999457
133,movement,movement_0133,c8a1,100.0,-100.0,200.0,0.07576568547998053,0.236996374794469,-0.16971651506788263,-0.16971651506788263,1,,0,frozen,curriculum,,0.0,1065.930109399953
134,movement,movement_0134,b8a1,100.0,-100.0,200.0,0.07576568547998053,0.22893484032874456,-0.16123068931448847,-0.16123068931448847,1,,0,frozen,curriculum,,0.0,1068.4640241999878
135,movement,movement_0135,d3a1,100.0,-100.0,200.0,0.07576568547998053,0.22127638258630633,-0.15316915484876403,-0.15316915484876403,1,,0,frozen,curriculum,,0.0,1070.9565180999925
136,movement,movement_0136,f7a1,100.0,-100.0,200.0,0.07576568547998053,0.21400084773099,-0.1455106971063258,-0.1455106971063258,1,,0,frozen,curriculum,,0.0,1073.6994599999161
137,movement,movement_0137,c5a1,100.0,-100.0,200.0,0.07576568547998053,0.20708908961843953,-0.13823516225100949,-0.13823516225100949,1,,0,frozen,curriculum,,0.0,1076.2592337999959
138,movement,movement_0138,g3a1,100.0,-100.0,200.0,0.07576568547998053,0.20052291941151656,-0.131323404138459,-0.131323404138459,1,,0,frozen,curriculum,,0.0,1077.845882399939
139,movement,movement_0139,b4a1,100.0,-100.0,200.0,0.07576568547998053,0.19428505771493976,-0.12475723393153604,-0.12475723393153604,1,,0,frozen,curriculum,,0.0,1080.4797470999183
140,movement,movement_0140,h5a1,100.0,-100.0,200.0,0.07576568547998053,0.18835908910319177,-0.11851937223495923,-0.11851937223495923,1,,0,frozen,curriculum,,0.0,1082.9819856999675
141,movement,movement_0141,d7a1,100.0,-100.0,200.0,0.07576568547998053,0.18272941892203118,-0.11259340362321124,-0.11259340362321124,1,,0,frozen,curriculum,,0.0,1085.7270907999482
142,movement,movement_0142,d7a1,100.0,-100.0,200.0,0.07576568547998053,0.17738123224992863,-0.10696373344205065,-0.10696373344205065,1,,0,frozen,curriculum,,0.0,1088.6295996999834
