population_id,anatomical_family,population_role,population_size,depth,validation_pair_accuracy,validation_top1_accuracy,validation_top3_accuracy,validation_mean_teacher_regret_cp,validation_mean_selected_teacher_rank,validation_mean_spearman,validation_mean_kendall,validation_mean_score_margin,validation_near_zero_unit_fraction,validation_saturated_unit_fraction,effective_rank,within_position_candidate_distance,mean_train_feature_std,mean_validation_score_margin_proxy
readout_descending,descending,readout,256,64,0.7520085698982325,0.140625,0.390625,5071.203125,11.8203125,0.19754833661564675,0.14058152469151255,0.6398306568153203,0.0,0.011884629078197826,21.78847312927246,6.759370097727425,0.9999998807907104,6.928171634674072
readout_epg,epg,readout,50,1,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
readout_epg,epg,readout,50,2,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
readout_epg,epg,readout,50,4,0.6314943760042849,0.09375,0.25,4283.2890625,11.9296875,0.0996560671658692,0.07020826878978045,0.2112497585476376,1.0357327809425168e-05,0.01590885551527706,1.9815661907196045,1.2014967472304305,0.9999999403953552,3.614689350128174
readout_epg,epg,readout,50,8,0.6925549009105517,0.1171875,0.3515625,4266.734375,11.8984375,0.10702109586936588,0.07453163754450282,0.3010079130763188,1.0357327809425168e-05,0.013894355256343863,2.4464027881622314,1.3123176380737502,1.0,7.186084747314453
readout_epg,epg,readout,50,16,0.6866630958757365,0.171875,0.359375,4242.25,10.4296875,0.0952323342188426,0.06558011159562702,0.2713626771583222,0.0,0.01648886587260487,2.3815529346466064,1.314559250990398,0.9999999403953552,6.304036617279053
readout_epg,epg,readout,50,32,0.6855918585966791,0.171875,0.3515625,4242.25,10.4296875,0.09101925763763843,0.06176598407578597,0.27369207656010985,0.0,0.017421025375453134,2.353808879852295,1.3180337903688124,1.0,6.273887634277344
readout_epg,epg,readout,50,64,0.6987145152651312,0.1796875,0.3515625,4241.609375,10.3984375,0.1133600532568774,0.07770586955964688,0.2741828857688233,0.0,0.01819782496116002,2.3342666625976562,1.3367148264047644,1.0,6.035778045654297
readout_epg_delta7_pb_eb_attractor,epg_delta7_pb_eb_attractor,readout,256,1,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
readout_epg_delta7_pb_eb_attractor,epg_delta7_pb_eb_attractor,readout,256,2,0.009105516871987145,0.0546875,0.125,4351.5390625,15.703125,-0.009336757855902964,-0.015528555615388776,0.027329063042998314,0.98828125,0.0007697193811496634,2.736159563064575,0.08025886102227381,0.011718742549419403,1.1666382551193237
readout_epg_delta7_pb_eb_attractor,epg_delta7_pb_eb_attractor,readout,256,4,0.6853240492769148,0.09375,0.2734375,4301.6953125,12.5390625,0.15077435702013048,0.10434452368227895,0.5035900827497244,0.025926697630761265,0.03428336192387364,9.956925392150879,3.764378147833195,0.96875,7.31442403793335
readout_epg_delta7_pb_eb_attractor,epg_delta7_pb_eb_attractor,readout,256,8,0.7005891805034815,0.140625,0.3359375,4226.0078125,10.6171875,0.16429104499798694,0.11345520164935281,0.41869000252336264,4.045831175556706e-06,0.02294492005437597,8.485933303833008,3.4570899444121146,0.9999998807907104,7.480635643005371
readout_epg_delta7_pb_eb_attractor,epg_delta7_pb_eb_attractor,readout,256,16,0.6909480449919657,0.109375,0.3203125,5012.671875,10.65625,0.16489054924185695,0.11465628185756882,0.4290272237267345,3.0343733816675297e-06,0.02032929019937856,8.640381813049316,3.5884074604672778,0.9999998807907104,6.986325740814209
readout_epg_delta7_pb_eb_attractor,epg_delta7_pb_eb_attractor,readout,256,32,0.6987145152651312,0.0859375,0.3359375,5022.0234375,10.46875,0.16137453408137487,0.1104429362935658,0.43233924079686403,0.0,0.02040413807612636,8.666364669799805,3.6174244079532922,0.9999998807907104,7.068451881408691
readout_epg_delta7_pb_eb_attractor,epg_delta7_pb_eb_attractor,readout,256,64,0.6955008034279593,0.09375,0.328125,5029.2265625,10.625,0.15277692030901613,0.10300789648289567,0.4288150183856487,2.022915587778353e-06,0.019130712713619887,8.688533782958984,3.63427819414148,0.9999999403953552,6.763643264770508
